a,1.0,2.0,3.0,4.0,5.0,6.0
b,2.0,3.0,4.0,5.0,6.0,7.0
c,12.0,23.0,12.0,12.0,7.0,2.0
,*,*,*,*,*,*
Gene.name,C1,C2,C3,T1,T2,T3,Gene.stable.ID,DBID,P Values,a,b,c,R Values,a,b,c
Dnajc3,75.49816794,70.25141675,64.86558029,125.427095,119.2595895,126.1819147,ENSPEMG00000016620,16619,,0.039073071234061084,0.039073071234061084,0.13969969849881725,,0.8339425945622623,0.8339425945622623,-0.6769319054183178
Yars,43.7812426,36.18058708,39.6856057,102.9133054,106.9670447,111.3555038,ENSPEMG00000010746,10745,,0.018522758183579267,0.018522758183579267,0.09158104495430065,,0.8867167393105047,0.8867167393105047,-0.7415230350839301
Ddit4,36.51315091,21.91749951,26.93118587,91.21977746,85.06807991,93.32826902,ENSPEMG00000009530,9529,,0.03474256485738431,0.03474256485738431,0.09182848641998491,,0.8436833205606644,0.8436833205606644,-0.7411567929895829
Dus4l,6.210965773,6.601613785,6.386085312,9.884884554,9.823989485,10.15547132,ENSPEMG00000022807,22806,,0.01464526149473595,0.01464526149473595,0.14935972292273492,,0.8994915349616637,0.8994915349616637,-0.6652153028511314
Ogg1,2.51551231,2.805155294,2.651136822,6.256461223,6.086133683,6.987134151,ENSPEMG00000017476,17475,,0.011170153057705202,0.011170153057705202,0.12121788368204474,,0.9124174168514646,0.9124174168514646,-0.7003689663870256
Artn,3.028682227,3.193200796,3.802524376,10.24255939,9.061818003,11.02829656,ENSPEMG00000008936,8935,,0.012238570268313936,0.012238570268313936,0.11271484796945405,,0.9082589290502179,0.9082589290502179,-0.7116718844560737
Zfp956,1.111653167,1.037086523,0.980144762,2.227616845,2.142081041,2.123743838,ENSPEMG00000008548,8547,,0.039014431929184336,0.039014431929184336,0.15659570615192922,,0.834071006771883,0.834071006771883,-0.6566494085036219
Mob3c,1.752677524,1.606426536,1.752859627,3.174491728,3.270682736,3.259850605,ENSPEMG00000023064,23063,,0.01852227738184054,0.01852227738184054,0.09973476348317006,,0.886718239012706,0.886718239012706,-0.7296772291133393
Asns,47.17643231,49.82443679,48.94060762,127.6461246,134.7633478,141.550501,ENSPEMG00000024254,24253,,0.011846338467816095,0.011846338467816095,0.11271617601975223,,0.9097643487537399,0.9097643487537399,-0.7116700904883277
Mrrf,18.96134279,18.39994528,19.77183586,29.68231806,26.99257024,29.24505866,ENSPEMG00000012001,12000,,0.024276885193529444,0.024276885193529444,0.12578313908577343,,0.8699304021048908,0.8699304021048908,-0.6944433919210684
Ppp1r15a,21.68678724,24.15964777,17.38088808,128.7151678,121.5167812,118.810114,ENSPEMG00000013886,13885,,0.0324656089646169,0.0324656089646169,0.17458044683131357,,0.8490344247760774,0.8490344247760774,-0.6360551735144883
Ifrd1,18.56508337,11.92208258,13.48293683,69.4786182,72.30322579,85.05594833,ENSPEMG00000000131,131,,0.014799740031532128,0.014799740031532128,0.0781170858469687,,0.898953466522806,0.898953466522806,-0.7621721879008405
Mrm1,5.909822971,5.176377,5.306392541,10.06358038,9.603846686,9.600730918,ENSPEMG00000021522,21521,,0.044138871149274735,0.044138871149274735,0.13296814860513229,,0.8231695180296138,0.8231695180296138,-0.685303340655714
Zfp768,13.30934364,12.64784462,12.4189849,18.25899444,18.75999466,19.21150757,ENSPEMG00000023566,23565,,0.023121522937905342,0.023121522937905342,0.09932969260783546,,0.8731339915997369,0.8731339915997369,-0.7302553040358952
Rpusd2,6.114092421,5.332288225,5.404306959,9.101405967,8.453694421,9.333836039,ENSPEMG00000012878,12877,,0.040356425651273155,0.040356425651273155,0.09906890953685354,,0.831154472220454,0.831154472220454,-0.7306280203603476
null2,15.12605054,13.48660569,15.26292667,25.44560599,23.99940248,24.35534087,ENSPEMG00000021010,21009,,0.0316917826227453,0.0316917826227453,0.11376738984525805,,0.8508930561168729,0.8508930561168729,-0.7102529788546448
Taf1d,5.438255108,5.586689823,5.530523676,15.343687,13.53741799,17.33188957,ENSPEMG00000023691,23690,,0.015203174454977377,0.015203174454977377,0.11261592939193941,,0.8975608767524565,0.8975608767524565,-0.7118055325609587
Cars,31.89690377,24.18552691,25.18433813,96.23211848,90.60434454,88.11372399,ENSPEMG00000009377,9376,,0.04142635004681247,0.04142635004681247,0.14562281826374887,,0.8288615936929673,0.8288615936929673,-0.6697081803765943
Zfp777,16.85243515,18.11548429,16.38315655,26.16930574,25.19003575,26.50171224,ENSPEMG00000017296,17295,,0.025744291468244983,0.025744291468244983,0.19047670627052019,,0.8659644280618312,0.8659644280618312,-0.6185804271422233
Casp8,1.690983275,1.655553981,1.764398136,6.627887021,6.443491411,6.126400234,ENSPEMG00000021544,21543,,0.028511267013918748,0.028511267013918748,0.15624616564663113,,0.8587677695242864,0.8587677695242864,-0.6570592759476254
Gars,192.813163,162.8727118,169.5408297,368.3832229,330.5916119,341.5682539,ENSPEMG00000019930,19929,,0.050701328919207735,0.050701328919207735,0.14448378621779653,,0.810037167314588,0.810037167314588,-0.6710874043253017
Snx16,10.56061426,9.437638647,9.776255765,14.3399372,13.54996852,14.21514649,ENSPEMG00000000176,176,,0.046298759406602705,0.046298759406602705,0.1021722380880872,,0.8187528545599526,0.8187528545599526,-0.7262204763744677
Hspa5,499.7214232,654.4242005,555.6537797,1672.512737,1627.56541,1648.275754,ENSPEMG00000021747,21746,,0.0204995998063818,0.0204995998063818,0.18262487688505424,,0.88070049670128,0.88070049670128,-0.6271330115247009
null3,7.84441844,7.246785289,7.295298186,15.08768849,15.09145712,14.50917948,ENSPEMG00000008428,8427,,0.033562464170772154,0.033562464170772154,0.14130831056138565,,0.8464353495873107,0.8464353495873107,-0.674957295106106
Traf2,14.27664983,14.32057926,13.52628265,30.81100645,31.18116484,29.99192102,ENSPEMG00000011629,11628,,0.02853823034098778,0.02853823034098778,0.15632126520365477,,0.8586993112378025,0.8586993112378025,-0.6569711822620805
Nfxl1,4.618427363,4.109531158,4.424325964,11.87645453,12.70722212,12.34583745,ENSPEMG00000021617,21616,,0.019782863193319636,0.019782863193319636,0.11093575813034232,,0.8828482774942439,0.8828482774942439,-0.714083531676466
Myc,12.1681712,13.54853388,14.96837472,70.18822285,59.99120046,61.2110729,ENSPEMG00000018619,18618,,0.03333733250009762,0.03333733250009762,0.18148804291588314,,0.8469655108410961,0.8469655108410961,-0.6283838206456633
Golga5,19.56216596,18.31381361,19.18393013,26.08473863,25.75652088,25.48975086,ENSPEMG00000012325,12324,,0.03457324379241937,0.03457324379241937,0.11216891892795738,,0.8440754477778061,0.8440754477778061,-0.7124101288700304
Fn3krp,4.963517934,4.940392784,4.89483653,8.874115429,8.688856876,8.412486499,ENSPEMG00000009809,9808,,0.03278143605503185,0.03278143605503185,0.16652846576535724,,0.8482818623546766,0.8482818623546766,-0.6451593918880704
Nr2c1,11.97881243,11.46353252,11.25228053,14.61147569,14.35161237,15.24846242,ENSPEMG00000011087,11086,,0.030783944664739153,0.030783944664739153,0.09642211595865012,,0.8531010971068971,0.8531010971068971,-0.7344358433975937
Rassf1,8.932887202,11.15567507,10.18648282,35.54468592,35.26365074,34.16212147,ENSPEMG00000007763,7762,,0.022240531353132784,0.022240531353132784,0.17098957935124787,,0.8756284076720658,0.8756284076720658,-0.6400930769714827
Ivd,15.34257996,13.73757558,16.07689052,24.90163366,25.16510068,25.79368717,ENSPEMG00000014300,14299,,0.014507633074303644,0.014507633074303644,0.07373488596899049,,0.8999732206800524,0.8999732206800524,-0.7692340806792464
Fam76b,3.243999124,2.84213056,3.192638338,6.519837081,5.78234588,5.975518927,ENSPEMG00000010985,10984,,0.04195807681125514,0.04195807681125514,0.14413459914084928,,0.8277323887799233,0.8277323887799233,-0.6715111565920303
Arhgef2,7.667544727,6.975023669,5.878055383,16.17205802,13.8123135,16.41706219,ENSPEMG00000019177,19176,,0.044513914456189574,0.044513914456189574,0.15205483223456065,,0.8223955040657406,0.8223955040657406,-0.6620046660674257
null4,44.12013767,38.27164416,41.75902845,72.28884672,75.185532,80.94813437,ENSPEMG00000001369,1369,,0.014546559065850475,0.014546559065850475,0.06429503372108937,,0.8998367610714181,0.8998367610714181,-0.7851273278527309
Trub2,8.28820543,7.194456062,7.359653216,11.84343003,11.40158535,12.61526688,ENSPEMG00000017893,17892,,0.032177503842633966,0.032177503842633966,0.0773871613508675,,0.8497239478869152,0.8497239478869152,-0.7633357676491077
Alg12,21.44150773,24.177173,21.74892397,48.42898387,50.74435937,50.88208697,ENSPEMG00000023141,23140,,0.01607536986473135,0.01607536986473135,0.14922983190595596,,0.8946097401582569,0.8946097401582569,-0.6653706604098701
Dph7,2.88034081,3.142848481,3.022705654,7.409888358,6.111378406,7.600025737,ENSPEMG00000017191,17190,,0.024024027521772427,0.024024027521772427,0.15662681845668827,,0.8706252096754042,0.8706252096754042,-0.6566129453493327
Trim27,32.74338739,29.45579559,29.23097128,50.60607895,51.26051773,50.2279732,ENSPEMG00000022731,22730,,0.03852708015517612,0.03852708015517612,0.12156184542516603,,0.8351417609703677,0.8351417609703677,-0.6999191652752095
Fam84b,0.228392546,0.231475633,0.152185284,0.639874285,0.671558853,0.71139254,ENSPEMG00000019492,19491,,0.025071364431129006,0.025071364431129006,0.1372958970091305,,0.8677694308714188,0.8677694308714188,-0.679900933780731
Prr3,9.153763087,9.194125592,8.400414331,22.74875111,20.02809396,20.31737796,ENSPEMG00000001275,1275,,0.04666452839604931,0.04666452839604931,0.20034502799058332,,0.8180144824875103,0.8180144824875103,-0.6080347212797778
Rcl1,9.649563082,8.864943793,10.68464868,19.91938206,20.37530927,22.88929408,ENSPEMG00000023275,23274,,0.006966480200086343,0.006966480200086343,0.06752813064333799,,0.9310538848977874,0.9310538848977874,-0.7795711346782694
Lpxn,1.960003342,2.113473167,2.109787394,5.7767029,6.30165355,6.769344643,ENSPEMG00000021779,21778,,0.008799581227475005,0.008799581227475005,0.1009468889363617,,0.9223973834164099,0.9223973834164099,-0.7279536035854912
null5,11.95992615,12.12413324,12.07714014,15.864115,15.51674013,15.30482431,ENSPEMG00000006100,6099,,0.03217708043100832,0.03217708043100832,0.1852634455508321,,0.8497249633781306,0.8497249633781306,-0.6242422892028239
Atf3,48.68912377,44.13574346,27.70038078,194.5244153,190.970345,180.7404977,ENSPEMG00000000661,661,,0.04168620264137762,0.04168620264137762,0.17329495696216782,,0.8283089153558849,0.8283089153558849,-0.6374966702658558
Lmo4,19.51040748,14.2919292,15.21048052,35.97389473,32.4672297,38.42242912,ENSPEMG00000020893,20892,,0.03863329089338918,0.03863329089338918,0.08428328642125846,,0.8349078683021003,0.8349078683021003,-0.752531706548695
Mbp,0.084361693,0.064435158,0.081196417,0.156857778,0.156499382,0.179788712,ENSPEMG00000021451,21450,,0.014570656940789756,0.014570656940789756,0.051301463166129165,,0.8997523713457929,0.8997523713457929,-0.8088767453561576
Mxd1,2.301412696,2.021672166,2.395066755,3.933905486,3.612228967,3.734132867,ENSPEMG00000011539,11538,,0.032422531191481245,0.032422531191481245,0.10997207768509105,,0.8491373389124879,0.8491373389124879,-0.7153969499793591
Zfp296,2.582805653,2.120184542,2.681310078,6.893346383,6.668391695,8.441003891,ENSPEMG00000008067,8066,,0.009742669012781272,0.009742669012781272,0.0662258941692157,,0.9182872258524852,0.9182872258524852,-0.7817941349249637
Slc35b1,51.68951249,52.37707095,47.88020629,80.94795173,72.42438125,83.03855738,ENSPEMG00000021039,21038,,0.03621462258491293,0.03621462258491293,0.16707408592840084,,0.8403113668167836,0.8403113668167836,-0.6445367200933096
null6,11.04295752,11.9273011,11.43045126,22.50669687,22.39995157,21.35717945,ENSPEMG00000010311,10310,,0.027538408465511248,0.027538408465511248,0.1846103894796437,,0.8612586692570825,0.8612586692570825,-0.6249561570706368
Ptcd2,15.9782155,14.93880222,15.85447067,24.05277338,21.48347013,24.94125674,ENSPEMG00000000884,884,,0.026092499221219242,0.026092499221219242,0.09935826600807242,,0.865039228876417,0.865039228876417,-0.7302144927919781
Cyp1a1,3.508065433,0.881397284,1.266165653,171.6908042,111.2998164,164.5981118,ENSPEMG00000015335,15334,,0.037113501610409605,0.037113501610409605,0.16203781221308688,,0.8382839814532521,0.8382839814532521,-0.6503172131734086
null7,1.082104352,1.188636941,1.48575301,2.789237435,2.617368785,2.924284706,ENSPEMG00000008498,8497,,0.007286963912279082,0.007286963912279082,0.11103616556978126,,0.9294667294276486,0.9294667294276486,-0.7139469736974402
Rxrb,29.67685607,29.62347548,29.90854231,37.34917053,38.59192691,40.11257688,ENSPEMG00000018454,18453,,0.0074302594074955155,0.0074302594074955155,0.08177050951379511,,0.9287681058884449,0.9287681058884449,-0.7564205706974885
null8,8.466186592,8.134702439,8.200599979,10.1443175,10.45809115,10.3760758,ENSPEMG00000023747,23746,,0.02523571779747077,0.02523571779747077,0.09240067553748788,,0.8673264785906221,0.8673264785906221,-0.7403115712241262
Dnajb9,21.94464089,26.42746819,19.38905319,132.3156673,146.5319959,135.7979834,ENSPEMG00000010513,10512,,0.02178962492677065,0.02178962492677065,0.14789941615113833,,0.8769233318044249,0.8769233318044249,-0.666965252062937
Sars,161.0947161,120.9295522,129.8534316,294.1516474,252.3007828,300.1384078,ENSPEMG00000013142,13141,,0.04782836942870697,0.04782836942870697,0.09905150691541435,,0.8156827749484716,0.8156827749484716,-0.7306529080283848
null9,18.71480544,15.91470758,16.59968694,26.83762712,27.59746213,27.69297538,ENSPEMG00000017947,17946,,0.035434584122536056,0.035434584122536056,0.08201460310011298,,0.8420899547314631,0.8420899547314631,-0.75604046509821
Birc3,9.239279009,7.801343807,9.587748607,35.11430272,39.2270095,45.38858488,ENSPEMG00000020508,20507,,0.007685110964358582,0.007685110964358582,0.07180885253304399,,0.927541635182937,0.927541635182937,-0.7723979295628105
Arl14ep,17.27913485,15.3247444,16.01131489,50.99715974,58.17568528,56.08487012,ENSPEMG00000002547,2546,,0.016940747134536742,0.016940747134536742,0.104403515359377,,0.8917568578494935,0.8917568578494935,-0.7230880373993981
Mvd,6.437512866,5.759078552,6.611037299,12.62699186,10.63653737,13.26461703,ENSPEMG00000018457,18456,,0.023843636423316654,0.023843636423316654,0.09954668305612586,,0.8711230224157316,0.8711230224157316,-0.7299455080214938
Wtap,23.79218357,21.87087326,23.41764501,34.53432866,31.18653198,32.64573356,ENSPEMG00000014297,14296,,0.0499667600506142,0.0499667600506142,0.13728988527273164,,0.8114662277042227,0.8114662277042227,-0.6799083870134945
Zfp639,13.09515668,12.64749889,12.79219473,17.5919169,18.62264688,18.35250615,ENSPEMG00000011611,11610,,0.01809832648980498,0.01809832648980498,0.0972689161001247,,0.8880479613544141,0.8880479613544141,-0.7332125907191561
Zfand2a,10.38687515,9.573039119,7.847767787,41.67024832,40.2208607,36.20489933,ENSPEMG00000023506,23505,,0.045407553369297304,0.045407553369297304,0.18669206193242813,,0.8205633640544236,0.8205633640544236,-0.622684263199143
Nfkbil1,22.91338106,18.3345464,17.59567333,36.54631969,33.72404488,38.92624113,ENSPEMG00000000732,732,,0.047897734343488596,0.047897734343488596,0.09557288326183935,,0.8155446422431498,0.8155446422431498,-0.7356674213791061
Siah2,7.794545187,6.722432256,7.595867606,30.88239852,32.0205393,28.19334596,ENSPEMG00000014755,14754,,0.03234360376700206,0.03234360376700206,0.1515579419088616,,0.849326066468752,0.849326066468752,-0.6625947700561555
Cwf19l1,8.303258683,7.250255483,7.40079851,10.65697787,10.52198868,11.22779161,ENSPEMG00000013069,13068,,0.03987728959851022,0.03987728959851022,0.06887879660106612,,0.8321904841782223,0.8321904841782223,-0.7772860252381122
Tmem39b,6.629738769,6.148864293,6.645344195,10.70273133,9.188057355,10.18638599,ENSPEMG00000024093,24092,,0.044677398775895924,0.044677398775895924,0.14394319807262174,,0.8220590566495356,0.8220590566495356,-0.6717436157681871
Tom1l1,20.3249117,20.15386847,20.91076212,23.72754476,23.39238362,24.67558313,ENSPEMG00000022203,22202,,0.006382133506918142,0.006382133506918142,0.06853933471040778,,0.9340424149120664,0.9340424149120664,-0.7778584039931775
Rbm39,67.47034752,64.45303708,65.73725158,95.74282102,87.24214233,101.8421078,ENSPEMG00000021887,21886,,0.02427246256027618,0.02427246256027618,0.09805649340599774,,0.8699425250254498,0.8699425250254498,-0.7320791330155854
null10,2.33414726,2.290475345,2.41405461,4.224366646,4.244742427,3.959486607,ENSPEMG00000022444,22443,,0.030793789494736958,0.030793789494736958,0.15733572826526548,,0.8530769888125096,0.8530769888125096,-0.6557829435004131
Stx5a,50.87199685,48.72564892,46.48517667,106.477714,106.9361853,97.73233564,ENSPEMG00000017791,17790,,0.04279089235587939,0.04279089235587939,0.17631980192299493,,0.8259771212176924,0.8259771212176924,-0.6341117665337501
Hic2,0.512665057,0.515522486,0.535140491,0.649869728,0.635230345,0.62881955,ENSPEMG00000012710,12709,,0.02444578147329815,0.02444578147329815,0.16022641718697994,,0.869468222921612,0.869468222921612,-0.6524147475716161
null11,1.627577464,1.573020742,2.116757927,4.117189228,3.763273583,3.807749095,ENSPEMG00000010319,10318,,0.021242568879813357,0.021242568879813357,0.13425622564237652,,0.8785116825913266,0.8785116825913266,-0.6836875864205683
D6Wsu163e,8.886402919,9.56117712,9.982652419,14.70878938,13.14871354,14.68058127,ENSPEMG00000016634,16633,,0.01643406470233854,0.01643406470233854,0.16459680903188964,,0.8934184902449736,0.8934184902449736,-0.6473707612746333
Mrnip,10.61439718,11.32217768,9.973948732,16.09293435,14.97356106,17.09578199,ENSPEMG00000018478,18477,,0.027652527075410115,0.027652527075410115,0.1767050045864069,,0.8609643446548447,0.8609643446548447,-0.633682457355514
Ints3,17.46131653,16.95538955,17.79583184,20.96368843,20.55449791,22.16465055,ENSPEMG00000009736,9735,,0.009231592839729016,0.009231592839729016,0.05663880136842875,,0.920489312621046,0.920489312621046,-0.7988201265406953
null12,7.243772933,6.864158784,6.574775683,9.727006858,9.083912373,9.201101728,ENSPEMG00000022447,22446,,0.07728995249526842,0.07728995249526842,0.19324976338941485,,0.763491103016852,0.763491103016852,-0.6155948031445441
Siah1a,5.713370065,6.289080071,6.489631827,13.61894593,14.7744354,13.71804854,ENSPEMG00000008065,8064,,0.01610235001421313,0.01610235001421313,0.1449814370757532,,0.8945196955559827,0.8945196955559827,-0.6704842419933242
Top3b,15.33642876,13.81708818,15.13002629,26.95273423,25.21758606,24.10066573,ENSPEMG00000007198,7197,,0.051030205429760736,0.051030205429760736,0.16141930494595602,,0.8094004675411112,0.8094004675411112,-0.651032305474531
Txndc11,11.44760965,13.0131997,12.04097024,25.54650665,23.41305157,22.69262188,ENSPEMG00000005958,5957,,0.041199947089176,0.041199947089176,0.24023691391090196,,0.8293444504505583,0.8293444504505583,-0.5673982765502472
Tmem269,0.09849538,0.100307222,0.071099852,0.237001116,0.250036232,0.23323326,ENSPEMG00000006920,6919,,0.04119327420364728,0.04119327420364728,0.18198082843731772,,0.8293587007160003,0.8293587007160003,-0.6278412319643114
Dnajc27,5.432769444,5.155945528,5.246002336,7.492914576,7.989234634,8.516189547,ENSPEMG00000015746,15745,,0.010439324591746657,0.010439324591746657,0.06432817322404827,,0.9153739512174538,0.9153739512174538,-0.7850697370466286
Psat1,41.91281254,38.31210737,42.82806358,145.1386985,175.8852138,178.8473896,ENSPEMG00000022279,22278,,0.009699545744384454,0.009699545744384454,0.08468139115127694,,0.9184708307406393,0.9184708307406393,-0.7519203981869951
Zfp712,1.533106979,1.355247728,1.508354293,3.025921725,2.44135367,2.761452673,ENSPEMG00000021548,21547,,0.0541145900827934,0.0541145900827934,0.16127823371033667,,0.8035190597117505,0.8035190597117505,-0.6511955680143499
Zfp583,3.966279949,4.46618223,3.631502893,8.736718407,7.671067177,7.789833557,ENSPEMG00000008184,8183,,0.05612566253770427,0.05612566253770427,0.2639798765827795,,0.7997674118013495,0.7997674118013495,-0.5444875593221354
Zc3h6,3.831349854,3.352972829,3.989828529,7.209503382,6.147166029,6.506338823,ENSPEMG00000000918,918,,0.04769738783492459,0.04769738783492459,0.14558769848744385,,0.8159438645654565,0.8159438645654565,-0.6697506369051788
Ier2,19.00798153,11.7018503,12.74637443,34.42226074,34.04473761,40.06642731,ENSPEMG00000005842,5841,,0.03583168624945673,0.03583168624945673,0.06001897541913793,,0.8411822365435415,0.8411822365435415,-0.7926762821878208
Smndc1,20.04335768,18.64930373,17.57662056,28.17712952,30.01810671,31.94086247,ENSPEMG00000022058,22057,,0.02150496047363216,0.02150496047363216,0.08369466608299049,,0.8777474336999438,0.8777474336999438,-0.7534379445792534
Zfp64,7.204657575,6.251224281,6.772408425,9.553395073,8.893491893,9.258990048,ENSPEMG00000014980,14979,,0.05972289343889993,0.05972289343889993,0.09473677501157782,,0.7932079773765608,0.7932079773765608,-0.7368847366238835
null13,70.97005564,112.5717999,85.53816959,1306.367965,1553.687429,1342.356902,ENSPEMG00000014925,14924,,0.020866217421464387,0.020866217421464387,0.14305031880729813,,0.8796157725259047,0.8796157725259047,-0.6728297831412082
Mthfd2,21.70441832,21.5977217,28.75455579,102.4316965,118.43398,139.8199874,ENSPEMG00000007283,7282,,0.0046611841893507144,0.0046611841893507144,0.06946721991244033,,0.9437251297291808,0.9437251297291808,-0.7762968996449788
Relb,18.92567045,15.748983,16.42093571,40.18588344,45.68631919,51.27262833,ENSPEMG00000017792,17791,,0.011212638976164487,0.011212638976164487,0.06363391818618612,,0.9122484685526966,0.9122484685526966,-0.7862790859606954
Trabd,12.33821243,13.56408152,13.98388624,24.99347603,22.96926559,28.85273396,ENSPEMG00000021540,21539,,0.007803295083649571,0.007803295083649571,0.1066651925647275,,0.9269796072377208,0.9269796072377208,-0.7199429830373596
Plekhg5,21.68481143,19.57148746,20.21210803,47.34559398,41.93288393,40.08871898,ENSPEMG00000007445,7444,,0.06299274572393603,0.06299274572393603,0.20054148798466484,,0.7874013440135046,0.7874013440135046,-0.6078269656382593
Klf6,49.26878468,51.11944952,55.08132441,95.56494103,83.44920286,105.5164946,ENSPEMG00000008003,8002,,0.01231535604588379,0.01231535604588379,0.10855669981174551,,0.9079669638158578,0.9079669638158578,-0.7173352157913996
Preb,30.08273637,30.2392056,31.18823137,45.17164005,42.32153548,41.40216128,ENSPEMG00000015929,15928,,0.04479017779508996,0.04479017779508996,0.2054427204723383,,0.8218272939139787,0.8218272939139787,-0.6026705287519081
Ddit3,23.54380213,24.19604533,20.3208761,335.1034015,292.4540309,463.5958746,ENSPEMG00000000565,565,,0.011912863373479536,0.011912863373479536,0.09031186171315154,,0.9095073409729098,0.9095073409729098,-0.7434085682917102
Cln8,7.779823211,7.506784066,7.671912726,8.652539932,8.506942871,8.461975142,ENSPEMG00000023175,23174,,0.05953228768559708,0.05953228768559708,0.11991360692244092,,0.7935509022892197,0.7935509022892197,-0.7020796585667209
Nfkbia,46.47447321,37.249593,38.680928,103.5786922,82.78862506,114.5270108,ENSPEMG00000019685,19684,,0.03436824048932404,0.03436824048932404,0.10295745418854725,,0.8445514223604644,0.8445514223604644,-0.7251147089984369
null14,2.318649493,2.266524499,2.971272012,6.648240058,7.224609037,8.568159452,ENSPEMG00000021004,21003,,0.0035468326642077914,0.0035468326642077914,0.06300989958425735,,0.9509710180648498,0.9509710180648498,-0.7873712513287123
null15,26.96563486,26.89954465,29.48747353,49.48016596,49.50458938,59.71922174,ENSPEMG00000011225,11224,,0.0050636857891535846,0.0050636857891535846,0.0687180740055556,,0.9413217565425656,0.9413217565425656,-0.7775568647051374
Syvn1,17.44333354,20.0899158,19.80698224,44.65845465,48.22272153,43.66388181,ENSPEMG00000004066,4065,,0.02012160097927752,0.02012160097927752,0.16713161734662718,,0.8818286528374335,0.8818286528374335,-0.644471114013302
Egr1,2.030939589,2.956846402,2.286408479,18.73597437,12.87267984,15.2739419,ENSPEMG00000004892,4891,,0.053890049075728357,0.053890049075728357,0.23808495456953768,,0.8039419034697517,0.8039419034697517,-0.5695178434212353
Plekhh3,3.92450284,3.377730444,3.074042056,6.632439315,7.309193407,7.987326359,ENSPEMG00000011634,11633,,0.02115525091122556,0.02115525091122556,0.07769240043672607,,0.8787670062431687,0.8787670062431687,-0.762848582005576
Ap3s2,19.28198014,18.62953718,18.85506791,24.45931382,23.91330444,26.96469031,ENSPEMG00000013394,13393,,0.01405228060824718,0.01405228060824718,0.0689508025922568,,0.9015828194846984,0.9015828194846984,-0.7771647787426212
Lmf1,19.4433617,18.99302977,18.28369313,21.96008897,21.99228162,22.00271376,ENSPEMG00000019205,19204,,0.06224609026805286,0.06224609026805286,0.16023800484262019,,0.7887148458662994,0.7887148458662994,-0.6524012977265228
null16,10.18961982,10.19573064,10.46819216,16.81891233,15.83825135,19.52915936,ENSPEMG00000023329,23328,,0.010074469850306321,0.010074469850306321,0.08478861209407082,,0.9168875169008794,0.9168875169008794,-0.7517559763776507
Arfip2,14.09662794,11.87008092,12.90071797,19.77145596,18.81655635,18.64846711,ENSPEMG00000002024,2023,,0.06591575339588066,0.06591575339588066,0.11070546988738744,,0.7823264992180767,0.7823264992180767,-0.7143969379964262
