atf4,120.4407851,93.88109067,104.4019996,622.5634676,565.7069481,647.5238973,
trib3,8.132534372,8.944704667,8.291022066,205.0354602,191.5652193,219.5402592,
chac1,4.012047779,4.326194321,3.577579626,110.6624766,101.1297729,102.2490118,
Gene.name,C1,C2,C3,T1,T2,T3,Gene.stable.ID,DBID,P Values,atf4,trib3,chac1,R Values,atf4,trib3,chac1
Prr3,9.153763087,9.194125592,8.400414331,22.74875111,20.02809396,20.31737796,ENSPEMG00000001275,1275,,0.0001987076006612396,0.00026315711177934037,2.481870841038265e-05,,0.9884681782798259,0.9867252939349884,0.9959295841066884
Rcl1,9.649563082,8.864943793,10.68464868,19.91938206,20.37530927,22.88929408,ENSPEMG00000023275,23274,,0.0002000990796666176,0.000154126474862908,0.0008846366272891284,,0.9884277938957902,0.9898461861470385,0.9756157708841698
Lpxn,1.960003342,2.113473167,2.109787394,5.7767029,6.30165355,6.769344643,ENSPEMG00000021779,21778,,0.00020128944033450289,7.912928051620183e-05,0.00047196773074415535,,0.9883933573659542,0.9927280651707847,0.9822089279737803
null5,11.95992615,12.12413324,12.07714014,15.864115,15.51674013,15.30482431,ENSPEMG00000006100,6099,,0.00021265029408736906,0.0001788025873531438,3.6954611772824433e-06,,0.988069665173767,0.9890620878931176,0.9984299901996021
Atf3,48.68912377,44.13574346,27.70038078,194.5244153,190.970345,180.7404977,ENSPEMG00000000661,661,,0.00022259681666091452,0.00020782525242821177,3.2127844060571185e-05,,0.9877932738989719,0.9882060607875005,0.9953684040316767
Lmo4,19.51040748,14.2919292,15.21048052,35.97389473,32.4672297,38.42242912,ENSPEMG00000020893,20892,,0.00022633218382618495,0.0004903224796289571,0.001191560813474447,,0.9876910697626663,0.9818652365841254,0.9716813867759253
Mbp,0.084361693,0.064435158,0.081196417,0.156857778,0.156499382,0.179788712,ENSPEMG00000021451,21450,,0.00027216874550394253,0.00036696731039471254,0.001391449569255842,,0.9864994050587098,0.9843178302540783,0.9693863311102661
Mxd1,2.301412696,2.021672166,2.395066755,3.933905486,3.612228967,3.734132867,ENSPEMG00000011539,11538,,0.00027428949324011053,0.0004878872145873326,0.0002672348438398706,,0.9864467891957986,0.9819104644304744,0.9866226107145867
Zfp296,2.582805653,2.120184542,2.681310078,6.893346383,6.668391695,8.441003891,ENSPEMG00000008067,8066,,0.0002832960814766443,0.00029534299749830784,0.0016556075702372113,,0.9862255591824334,0.9859350511033884,0.966590892800169
Slc35b1,51.68951249,52.37707095,47.88020629,80.94795173,72.42438125,83.03855738,ENSPEMG00000021039,21038,,0.0002871925754015535,0.00038754461300906823,0.000983173863201839,,0.9861309351584925,0.9838829721266321,0.9742878340253036
null6,11.04295752,11.9273011,11.43045126,22.50669687,22.39995157,21.35717945,ENSPEMG00000010311,10310,,0.0003087681927845479,0.00019539579512846137,1.5749779297776003e-05,,0.9856181702546358,0.9885648659154664,0.9967579000119815
Ptcd2,15.9782155,14.93880222,15.85447067,24.05277338,21.48347013,24.94125674,ENSPEMG00000000884,884,,0.00031451570931084933,0.0005657777306379322,0.0015398890976258304,,0.9854846086049704,0.9805153665616491,0.9677860913839483
Cyp1a1,3.508065433,0.881397284,1.266165653,171.6908042,111.2998164,164.5981118,ENSPEMG00000015335,15334,,0.00031773533745809644,0.000534267680886052,0.0008298413429580356,,0.9854103208211888,0.9810674746718184,0.9763860902778774
null7,1.082104352,1.188636941,1.48575301,2.789237435,2.617368785,2.924284706,ENSPEMG00000008498,8497,,0.00032177251622373906,0.00024479086798987094,0.0005878694624978183,,0.9853176966264288,0.9871979179883823,0.980137344582374
Rxrb,29.67685607,29.62347548,29.90854231,37.34917053,38.59192691,40.11257688,ENSPEMG00000018454,18453,,0.0003250143035974065,0.0001785935040764907,0.0009815700412401454,,0.9852437387021,0.9890684966208176,0.9743089053305188
null8,8.466186592,8.134702439,8.200599979,10.1443175,10.45809115,10.3760758,ENSPEMG00000023747,23746,,0.0003317448415297852,0.0002972585283662617,0.00038369485443479415,,0.9850913515532249,0.9858894058577066,0.9839634391486862
Dnajb9,21.94464089,26.42746819,19.38905319,132.3156673,146.5319959,135.7979834,ENSPEMG00000010513,10512,,0.00033363645251039726,0.00017742985335063123,0.00010420679095200163,,0.9850488008114712,0.9891042328159898,0.991653442926821
Sars,161.0947161,120.9295522,129.8534316,294.1516474,252.3007828,300.1384078,ENSPEMG00000013142,13141,,0.00034042519992046,0.0007561364939338396,0.0013183176918619148,,0.9848970714268017,0.9774632184625747,0.9702057973542906
null9,18.71480544,15.91470758,16.59968694,26.83762712,27.59746213,27.69297538,ENSPEMG00000017947,17946,,0.000342338926167692,0.00045989133728074097,0.0005571328135317629,,0.9848545719654023,0.9824386924037187,0.980665285570476
Birc3,9.239279009,7.801343807,9.587748607,35.11430272,39.2270095,45.38858488,ENSPEMG00000020508,20507,,0.0003595989213405184,0.0002336919065794163,0.0012289132775824753,,0.9844764835070354,0.9874921274022628,0.9712388109707113
Arl14ep,17.27913485,15.3247444,16.01131489,50.99715974,58.17568528,56.08487012,ENSPEMG00000002547,2546,,0.00035983480902133523,0.00021933503567330738,0.0003176051456480778,,0.9844713795488693,0.9878832208283053,0.9854133175032267
Mvd,6.437512866,5.759078552,6.611037299,12.62699186,10.63653737,13.26461703,ENSPEMG00000018457,18456,,0.0003885508196199184,0.000650373548016258,0.0016811773004811001,,0.983862006163879,0.9791044615630156,0.9663324241599601
Wtap,23.79218357,21.87087326,23.41764501,34.53432866,31.18653198,32.64573356,ENSPEMG00000014297,14296,,0.00038910763669328883,0.0007815827011904105,0.00043872094846460994,,0.9838504155719265,0.9770856891903147,0.9828488375164495
Zfp639,13.09515668,12.64749889,12.79219473,17.5919169,18.62264688,18.35250615,ENSPEMG00000011611,11610,,0.00039610606236524,0.00026807889975676626,0.00040007312270934185,,0.9837054350465948,0.9866014538044469,0.9836238181194737
Zfand2a,10.38687515,9.573039119,7.847767787,41.67024832,40.2208607,36.20489933,ENSPEMG00000023506,23505,,0.0004270270403851376,0.0004196415166833237,3.2580674624732044e-05,,0.9830796140892231,0.9832269874376405,0.9953358525473824
Nfkbil1,22.91338106,18.3345464,17.59567333,36.54631969,33.72404488,38.92624113,ENSPEMG00000000732,732,,0.0004550668212421696,0.0008058154200408634,0.0016964467514082975,,0.9825313204728172,0.9767317923012698,0.9661790006503277
Siah2,7.794545187,6.722432256,7.595867606,30.88239852,32.0205393,28.19334596,ENSPEMG00000014755,14754,,0.0004760646762043741,0.0004059726714084995,6.11303381497839e-05,,0.9821316450394237,0.9835031834562877,0.9936093382060417
Cwf19l1,8.303258683,7.250255483,7.40079851,10.65697787,10.52198868,11.22779161,ENSPEMG00000013069,13068,,0.0004844613937765032,0.0007951257089576498,0.0016582360860579667,,0.9819742792668674,0.9768872456732982,0.9665642321867918
Tmem39b,6.629738769,6.148864293,6.645344195,10.70273133,9.188057355,10.18638599,ENSPEMG00000024093,24092,,0.0004867754392287974,0.0009094092957256421,0.0008490081206693786,,0.9819311496649664,0.9752752952422862,0.9761138503188669
Tom1l1,20.3249117,20.15386847,20.91076212,23.72754476,23.39238362,24.67558313,ENSPEMG00000022203,22202,,0.000490895230416445,0.000488992831261178,0.0019236236657411744,,0.9818546156570145,0.981889916998903,0.9639721793527505
Rbm39,67.47034752,64.45303708,65.73725158,95.74282102,87.24214233,101.8421078,ENSPEMG00000021887,21886,,0.0004932872844177996,0.0007334081603565802,0.0023663213936722465,,0.9818103245128849,0.9778057904727664,0.9600142763590305
null10,2.33414726,2.290475345,2.41405461,4.224366646,4.244742427,3.959486607,ENSPEMG00000022444,22443,,0.0004943823316912027,0.00042650244085728394,5.11900000049218e-05,,0.9817900842928158,0.9830900401176212,0.9941524949595915
Stx5a,50.87199685,48.72564892,46.48517667,106.477714,106.9361853,97.73233564,ENSPEMG00000017791,17790,,0.0005347426706553466,0.0004931017876392883,5.810853175153431e-05,,0.9810590337611321,0.9818137553386108,0.9937694588011411
Hic2,0.512665057,0.515522486,0.535140491,0.649869728,0.635230345,0.62881955,ENSPEMG00000012710,12709,,0.0005576733702433575,0.0005295482468152084,0.00012625399532275762,,0.9806558775871995,0.9811515458184826,0.9908115334295852
null11,1.627577464,1.573020742,2.116757927,4.117189228,3.763273583,3.807749095,ENSPEMG00000010319,10318,,0.0005990806156470394,0.0006507624189530594,0.00031401198877529103,,0.9799482041752601,0.9790981935845107,0.9854962653222772
D6Wsu163e,8.886402919,9.56117712,9.982652419,14.70878938,13.14871354,14.68058127,ENSPEMG00000016634,16633,,0.0006028079520208453,0.0006028877547401518,0.0010079365072236802,,0.9798857112500461,0.979884375370333,0.9739646340905668
Mrnip,10.61439718,11.32217768,9.973948732,16.09293435,14.97356106,17.09578199,ENSPEMG00000018478,18477,,0.0006121632177705674,0.000550986277444339,0.0016579922454694888,,0.9797296998941332,0.9807725820045137,0.9665667045432473
Ints3,17.46131653,16.95538955,17.79583184,20.96368843,20.55449791,22.16465055,ENSPEMG00000009736,9735,,0.0006231087714740324,0.0007262835343912626,0.002673711388394284,,0.9795486637712412,0.9779142575960602,0.9574782153563436
null12,7.243772933,6.864158784,6.574775683,9.727006858,9.083912373,9.201101728,ENSPEMG00000022447,22446,,0.0006413976065517894,0.0010176323715444973,0.00041775676264750925,,0.9792496600502172,0.9738391580629343,0.9832648025702412
Siah1a,5.713370065,6.289080071,6.489631827,13.61894593,14.7744354,13.71804854,ENSPEMG00000008065,8064,,0.0006418831127688034,0.0003616837409977215,0.00020065495724737474,,0.9792417805956245,0.9844314312704805,0.9884116999778535
Top3b,15.33642876,13.81708818,15.13002629,26.95273423,25.21758606,24.10066573,ENSPEMG00000007198,7197,,0.0006512138296195074,0.0008819696919004135,0.00014263240326408723,,0.9790909198970996,0.9756527055946198,0.9902327658373556
Txndc11,11.44760965,13.0131997,12.04097024,25.54650665,23.41305157,22.69262188,ENSPEMG00000005958,5957,,0.0006557873347656303,0.0005769702600163994,7.258935851176051e-05,,0.9790173666054701,0.9803229473135773,0.9930354100855854
Tmem269,0.09849538,0.100307222,0.071099852,0.237001116,0.250036232,0.23323326,ENSPEMG00000006920,6919,,0.0006668327714015989,0.0005079408346223099,0.0002507688693859193,,0.9788407718878273,0.9815412984781289,0.9870422042692573
Dnajc27,5.432769444,5.155945528,5.246002336,7.492914576,7.989234634,8.516189547,ENSPEMG00000015746,15745,,0.0006708907118230318,0.0005160560333875681,0.001954219276485837,,0.978776258588332,0.9813939688594874,0.9636850357796715
Psat1,41.91281254,38.31210737,42.82806358,145.1386985,175.8852138,178.8473896,ENSPEMG00000022279,22278,,0.0006828229696533273,0.000410907504176638,0.0010355236420941008,,0.9785876731084355,0.9834029433171293,0.973609169121881
Zfp712,1.533106979,1.355247728,1.508354293,3.025921725,2.44135367,2.761452673,ENSPEMG00000021548,21547,,0.0007123484157272994,0.0012579742744636328,0.0009388352994097514,,0.978127946819254,0.9708990659201001,0.9748767851904543
Zfp583,3.966279949,4.46618223,3.631502893,8.736718407,7.671067177,7.789833557,ENSPEMG00000008184,8183,,0.000732483129666696,0.0007476480710908566,0.00021382712969151687,,0.9778198437473674,0.9775905541431158,0.9880366325478824
Zc3h6,3.831349854,3.352972829,3.989828529,7.209503382,6.147166029,6.506338823,ENSPEMG00000000918,918,,0.000740908000213062,0.0012238508201488573,0.0006328980943017078,,0.9776921744203894,0.9712984001793931,0.9793880844916114
Ier2,19.00798153,11.7018503,12.74637443,34.42226074,34.04473761,40.06642731,ENSPEMG00000005842,5841,,0.0007434903181953834,0.001085468040916009,0.0025562401040324467,,0.9776531867341944,0.9729773636304133,0.9584295039005436
Smndc1,20.04335768,18.64930373,17.57662056,28.17712952,30.01810671,31.94086247,ENSPEMG00000022058,22057,,0.0007474998298772869,0.0006414555024582874,0.0019142226695190723,,0.9775927842802634,0.9792487202813083,0.9640608611175889
Zfp64,7.204657575,6.251224281,6.772408425,9.553395073,8.893491893,9.258990048,ENSPEMG00000014980,14979,,0.0007605529497067008,0.001483579557922558,0.001220083639943273,,0.9773972472628423,0.968383747190688,0.9713428221666218
null13,70.97005564,112.5717999,85.53816959,1306.367965,1553.687429,1342.356902,ENSPEMG00000014925,14924,,0.0007618053759196874,0.0004688987717504101,0.00027563548128817044,,0.9773785736513595,0.9822670380915652,0.9864135001435224
Mthfd2,21.70441832,21.5977217,28.75455579,102.4316965,118.43398,139.8199874,ENSPEMG00000007283,7282,,0.0007690420380325994,0.0004999468565932415,0.0020677548813285164,,0.9772709723818864,0.9816875753348372,0.9626384229509188
Relb,18.92567045,15.748983,16.42093571,40.18588344,45.68631919,51.27262833,ENSPEMG00000017792,17791,,0.0007730919806736877,0.0006095822616444881,0.0021739943750624675,,0.9772109733391965,0.9797726217633929,0.96168447226307
Trabd,12.33821243,13.56408152,13.98388624,24.99347603,22.96926559,28.85273396,ENSPEMG00000021540,21539,,0.0007900696599078116,0.0006810344065543205,0.002727568952777617,,0.9769611335261481,0.978615835948758,0.9570489674461263
Plekhg5,21.68481143,19.57148746,20.21210803,47.34559398,41.93288393,40.08871898,ENSPEMG00000007445,7444,,0.0008008804234553849,0.0010798201164998497,0.00017143545206918049,,0.9768034307418646,0.9730480781563863,0.9892902020635601
Klf6,49.26878468,51.11944952,55.08132441,95.56494103,83.44920286,105.5164946,ENSPEMG00000008003,8002,,0.0008009169119823283,0.0008691508010743611,0.002766884094994934,,0.9768029002570944,0.9758310138741528,0.9567382541969094
Preb,30.08273637,30.2392056,31.18823137,45.17164005,42.32153548,41.40216128,ENSPEMG00000015929,15928,,0.0008028841118702879,0.0009065537297539776,0.00013641586053641256,,0.9767743180449635,0.9753143056647463,0.9904483306559758
Ddit3,23.54380213,24.19604533,20.3208761,335.1034015,292.4540309,463.5958746,ENSPEMG00000000565,565,,0.0008104059478362304,0.0007884043780557465,0.003303034842191421,,0.9766653494349707,0.9769855208693865,0.9526999151845217
Cln8,7.779823211,7.506784066,7.671912726,8.652539932,8.506942871,8.461975142,ENSPEMG00000023175,23174,,0.0008116066799956974,0.0013178857661217713,0.0005131296601327109,,0.9766480009750307,0.9702107031525244,0.9814469628957116
Nfkbia,46.47447321,37.249593,38.680928,103.5786922,82.78862506,114.5270108,ENSPEMG00000019685,19684,,0.0008154671109547234,0.0012628823907757567,0.003175872132363692,,0.9765923106566015,0.9708420713505461,0.9536266249520429
null14,2.318649493,2.266524499,2.971272012,6.648240058,7.224609037,8.568159452,ENSPEMG00000021004,21003,,0.0008180001575110757,0.0005833776983142936,0.0023577245678308763,,0.976555840126333,0.9802136261221674,0.9600874698120552
null15,26.96563486,26.89954465,29.48747353,49.48016596,49.50458938,59.71922174,ENSPEMG00000011225,11224,,0.0008380803582731193,0.0006920466183950716,0.003030869778283491,,0.9762686873285342,0.9784430146990688,0.9547059134337071
Syvn1,17.44333354,20.0899158,19.80698224,44.65845465,48.22272153,43.66388181,ENSPEMG00000004066,4065,,0.0008645647569407417,0.0005199372072464237,0.00020626653216579226,,0.9758951212582145,0.9813239140246515,0.9882504594641647
Egr1,2.030939589,2.956846402,2.286408479,18.73597437,12.87267984,15.2739419,ENSPEMG00000004892,4891,,0.0008741699342556426,0.0011391587314950043,0.000591004830511944,,0.9757610443799531,0.9723140280918507,0.9800842695079415
Plekhh3,3.92450284,3.377730444,3.074042056,6.632439315,7.309193407,7.987326359,ENSPEMG00000011634,11633,,0.0008775850641028851,0.0007716496813955701,0.0022275281668956036,,0.9757135494139467,0.9772323227784087,0.9612124978036753
